 ,Area,Mean,Angle,Length,Avg_length
1,1086.666,58.163,-166.373,93.278,
2,1207.407,38.258,-95.042,93.763,
3,1207.407,41.485,-121.504,99.881,
4,1207.407,49.55,-14.036,101.937,
5,965.926,42.939,22.166,80.09,
6,965.926,51.509,-143.973,74.728,88.4133365384615
7,845.185,49.895,-149.421,70.198,
8,1448.889,42.391,-119.407,115.623,
9,965.926,39.875,-102.995,73.3,
10,1207.407,47.218,-8.686,100.041,
11,1086.666,47.458,45,93.238,
12,1207.407,46.575,-138.504,95.359,
13,1207.407,51.548,-150.524,96.768,
14,1207.407,44.967,-2.246,93.472,
15,1086.666,47.717,-15.154,91.073,
16,1086.666,43.806,-16.189,88.675,
17,1207.407,57.665,12.171,95.548,
18,1086.666,52.863,-64.983,90.944,
19,1207.407,57.337,-31.329,98.622,
20,1328.148,56.359,5.711,110.43,
21,1448.889,74.032,-81.254,120.439,
22,1448.889,67.834,-23.552,116.871,
23,965.926,40.878,-150.422,77.914,
24,1086.666,48.683,0,82.412,
25,1207.407,42.681,-14.604,100.776,
26,965.926,61.642,20.898,80.863,
27,845.185,45.418,-71.811,67.469,
28,965.926,46.426,-128.346,78.225,
29,1086.666,39.218,-118.706,87.696,
30,845.185,49.784,-59.959,65.847,
31,1207.407,52.694,32.535,94.494,
32,1569.629,45.149,-77.3,133.288,
33,965.926,61.988,-38.211,82.159,
34,1207.407,51.745,-9.13,103.873,
35,1569.629,71.81,0.807,130.04,
36,1448.889,56.267,-32.574,117.354,
37,1086.666,52.374,1.762,89.321,
38,1328.148,61.266,2.121,111.332,
39,1207.407,57.904,-127.972,95.249,
40,1448.889,64.242,7.017,119.937,
41,845.185,49.309,-147.339,63.629,
42,845.185,60.057,-26.565,67.569,
43,1207.407,48.732,-57.995,103.663,
44,1207.407,45.023,-40.956,96.392,
45,845.185,65.093,-7.907,66.562,
46,965.926,50.44,-160.253,75.886,
47,1086.666,62.662,19.573,87.466,
48,1207.407,58.236,-42.769,99.789,
49,1569.629,65.519,-144.554,132.632,
50,1086.666,54.358,-86.309,85.336,
51,965.926,44.449,-61.631,78.05,
52,1207.407,63.101,-6.52,96.773,
53,1207.407,53.996,-108.083,94.4,
54,1207.407,54.742,-146.592,103.111,
55,1086.666,64.399,-26.565,85.996,
56,965.926,34.306,-70.907,75.581,
57,965.926,45.724,-7.853,80.419,
58,965.926,53.82,-147.529,71.634,
59,845.185,43.564,-139.764,62.374,
60,965.926,43.604,-21.038,76.524,
61,965.926,48.263,11.56,82.249,
62,965.926,52.584,-33.69,72.634,
63,1086.666,49.358,-0.868,90.663,
64,1448.889,41.384,-88.698,120.902,
65,1448.889,56.658,14.036,120.815,
66,965.926,53.38,25.942,75.354,
67,1086.666,49.348,-17.241,83.413,
68,1086.666,45.914,16.535,91.698,
69,845.185,80.521,5.599,70.386,
70,1086.666,61.251,14.323,88.836,
71,1207.407,72.914,25.602,97.476,
72,1086.666,58.104,-33.69,85.84,
73,1086.666,66.435,-142.431,90.11,
74,965.926,68.601,-143.13,73.255,
75,1086.666,57.038,-142.431,90.11,
76,965.926,60.557,-102.529,75.98,
77,1086.666,60.664,24.944,86.85,
78,724.444,54.989,-16.699,57.36,
79,724.444,49.595,-131.186,58.403,
80,965.926,48.781,-23.86,78.098,
81,603.704,39.24,-125.754,42.313,
82,724.444,38.452,-128.418,50.839,
83,1448.889,56.314,-63.435,116.709,
84,1086.666,45.441,-95.711,82.823,
85,1328.148,54.626,-92.793,112.763,
86,1448.889,66.685,0.855,122.715,
87,1086.666,69.213,19.231,83.403,
88,845.185,52.617,-129.401,66.36,
89,845.185,58.525,-20.556,62.589,
90,724.444,52.414,-165.53,58.632,
91,1328.148,63.836,-141.71,110.832,
92,1207.407,51.27,-85.914,102.818,
93,965.926,62.174,-110.726,72.449,
94,1448.889,57.67,-109.537,120.481,
95,845.185,81.203,23.199,69.736,
96,845.185,79.044,-158.499,64.956,
97,1207.407,68.163,-11.004,100.746,
98,1086.666,61.769,-135,89.353,
99,1207.407,44.652,-41.634,99.237,
100,965.926,53.708,10.491,75.431,
101,1207.407,46.142,-136.123,99.084,
102,845.185,50.854,-138.27,68.097,
103,724.444,39.591,23.025,59.697,
104,724.444,44.473,19.026,56.179,
