Specimen,Sex,Dissected,Scanned,Fixative,HH,HL,HW,PW,TL,maxBF_nocorr,maxBF_ampcorr,maxBF_ampbasecorr,L_closer_fib_l_mm,R_closer_fib_l_mm,L_md_block_g,R_md_block_g,L_closer_g,R_closer_g,L_mandi_g,R_mandi_g,PCSA_L_mm2,PCSA_R_mm2,L_closer_cuti_vol_mm3,R_closer_cuti_vol_mm3,L_closer_vol_mm3,R_closer_vol_mm3,L_convexhull_vol_mm3,R_convexhull_vol_mm3,L_2d3d_CH,R_2d3d_CH,Rev_side_3D,Penn_ang_deg_L,cos_ang_L,Penn_ang_deg_R,cos_ang_R,PCSA_L_vol,PCSA_R_vol,PCSA_L_CH,PCSA_R_CH,PCSA_L_2d3dCH,PCSA_R_2d3dCH,insert_area_total,OutLev_L,OutLevR,InLev_L,InLev_R,MA_L,MA_R
Sch1,M,0,1,Bouin_cryo,5.23,9.3,6.43,7.83,43.32,1.1235825,1.31885975,1.245678,1.883876,2.013844,,,,,,,,,4.16685,5.44554,3.12734,4.12025,18.7692,24.4221,13.42188,17.31387,1,29.47693,0.8407809,33.39378,0.8125325,1.416847,1.629493,8.503418,9.658551,6.080806,6.847359,28.162,3.49376,3.191016,1.561686,1.661732,0.446993,0.5207533
Sch2,F,0,1,Bouin_cryo,5.55,9.63,6.48,8.17,45.27,1.009306,1.1257085,1.100097,1.956234,2.083486,,,,,,,,,6.37898,6.87713,4.21143,5.78647,20.1635,28.3917,,,0,28.68524,0.8629283,36.2579,0.7800024,1.837422,2.211963,8.797215,10.853145,NA,NA,36.2821,3.409148,3.581201,1.725058,1.530882,0.4248393,0.5082172
Sch3,M,0,1,Bouin_cryo,5.8,9.31,6.25,7.91,44.92,1.02708225,1.3431725,1.30202,2.061683,2.075007,,,,,,,,,5.17914,7.4226,3.22362,4.19909,19.6717,26.7898,13.89208,18.62991,0,28.33641,0.86771,35.94528,0.7861514,1.334511,1.611723,8.143669,10.282642,5.751028,7.150658,31.5574,3.19752,3.446764,1.686807,1.485623,0.4268506,0.5089858
Sch4,M,0,1,Bouin_cryo,4.99,8.73,5.98,7.2,40.39,0.3960225,0.45412025,0.4307775,1.795402,1.926081,,,,,,,,,3.98546,5.39077,2.47431,3.39875,17.1015,21.7986,11.45162,14.44118,1,29.21966,0.8562911,34.74943,0.8014511,1.176231,1.405398,8.129664,9.013819,5.443839,5.971493,29.4784,3.323708,3.489222,1.676864,1.552651,0.4391319,0.4838775
Sch5,M,0,1,Bouin_cryo,5.14,8.81,6.27,7.15,41.61,0.616957,0.6833915,0.625562,1.694869,1.712382,,,,,,,,,4.78877,6.09569,2.83802,3.65678,16.8024,23.1443,11.0532,15.11436,0,29.03386,0.8569655,42.17426,0.7090446,1.429155,1.700799,8.461264,10.764607,5.566112,7.029815,30.524,3.605009,3.421742,1.527431,1.69224,0.4532734,0.5329474
Sch6,M,0,1,Bouin_cryo,5.4,8.75,6.41,7.78,45.74,1.19214825,1.53449025,1.5138555,1.749665,1.934792,,,,,,,,,4.80036,6.10896,2.9484,3.97379,19.5345,25.4119,12.33146,16.66908,1,30.71597,0.8427652,35.0785,0.7958222,1.438241,1.635782,9.529003,10.460625,6.015333,6.861707,31.167,3.618932,3.423728,1.588322,1.742816,0.4273655,0.503841
Sch7,F,0,1,Bouin_cryo,5.9,9.9,6.81,8.62,51.85,1.48545775,1.8186515,1.79134025,2.297602,2.265107,,,,,,,,,6.61685,8.17815,4.4937,5.62904,28.8296,36.511,18.96162,25.50595,0,28.0189,0.868957,32.34356,0.8173464,1.669281,1.979249,10.709369,12.837776,7.043698,8.968247,37.7452,3.736704,3.549987,1.591277,1.735489,0.440626,0.5174784
Sch8,M,0,1,Bouin_cryo,5.3,9.53,6.44,7.78,43.22,1.6276685,1.84086925,1.83774125,1.994831,1.864373,,,,,,,,,4.49513,5.28078,2.81872,3.81537,20.2227,25.621,13.18804,17.10077,0,29.74112,0.853803,37.69766,0.7666782,1.205996,1.629891,8.652331,10.945058,5.642535,7.305293,31.3304,3.704749,3.566485,1.573923,1.812549,0.4311022,0.5022412
Sch9,F,0,1,Bouin_cryo,5.79,9.85,6.73,8.6,49.59,1.51466175,1.8091095,1.799248,1.849634,2.243662,,,,,,,,,5.12978,6.56657,3.26804,4.11363,23.2786,30.758,15.67032,20.69816,1,29.99275,0.8498087,33.22238,0.819841,1.508001,1.460234,10.741654,10.918311,7.230897,7.347323,36.3103,3.632133,3.345096,1.550378,1.702606,0.4339872,0.4950913
Sch10,M,0,1,Bouin_cryo,5.78,9.46,6.57,8.37,46.14,1.513392,1.7914615,1.72373975,1.844534,2.173258,,,,,,,,,3.87209,4.33719,2.60653,3.21062,20.4165,27.4795,14.47437,18.97268,1,33.19145,0.820281,39.84201,0.7560285,1.20608,1.17661,9.447017,10.07053,6.697506,6.952999,34.9563,3.264696,3.422665,1.579713,1.503001,0.4274774,0.5060086
Sch11,M,0,1,Bouin_cryo,5.73,9.04,6.17,7.49,43.88,1.0600955,1.20304025,1.1536235,1.868326,1.914579,,,,,,,,,4.19561,5.02289,2.93414,3.55,19.2851,24.7765,13.1618,16.45685,1,27.92847,0.8579674,34.31163,0.8030292,1.340381,1.47676,8.809866,10.306743,6.012606,6.845863,31.7027,3.326206,3.126533,1.507681,1.666278,0.4310197,0.5275361
Sch12,M,0,1,Bouin_cryo,5.26,9.09,6.23,7.12,43.8,0.873444,1.0731275,1.0547585,1.8139,2.013135,,,,,,,,,4.33788,5.46267,3.04369,3.77958,19.5292,27.0418,13.11437,17.07411,1,30.26873,0.8380426,32.52724,0.8227702,1.432146,1.49529,9.189062,10.698367,6.170696,6.754916,32.3047,3.305804,3.530508,1.6656,1.508817,0.4449849,0.5045161
Sch13,M,0,1,Bouin_cryo,5.72,9.07,6.5,7.79,48.12,,,,2.11296,2.054296,,,,,,,,,4.54381,6.47617,2.53029,4.11177,22.0799,32.3017,14.57768,20.95829,0,29.2186,0.8551963,30.8376,0.8282062,1.022066,1.594118,8.918789,12.523253,5.888399,8.125454,35.5946,3.957177,3.677182,1.743635,1.902862,0.4236969,0.494555
Sch14,F,0,1,Bouin_cryo,5.78,9.57,6.45,7.74,45.18,1.29245775,1.55507175,1.533765,2.03443,2.001327,,,,,,,,,4.91006,6.81557,3.34449,4.58266,22.1667,29.7792,14.40182,19.75536,0,30.09166,0.8542936,33.36547,0.8009624,1.403096,1.823704,9.299474,11.850857,6.041916,7.861795,35.5735,3.626904,3.461377,1.563566,1.738446,0.4388925,0.5090404
Sch15,F,0,1,Bouin_cryo,5.39,9.46,6.82,7.7,50.76,1.34578675,1.626602,1.627558,2.130826,2.079997,,,,,,,,,5.26636,7.0799,3.6055,4.90529,21.3075,29.0116,15.36332,20.69293,0,27.32783,0.876608,29.97035,0.8467814,1.444168,1.878265,8.534628,11.108714,6.153712,7.923446,35.2498,3.605281,3.799626,1.784943,1.648989,0.4258504,0.4888719
