 ,Area,Mean
1,37.661,0
2,37.661,0
3,37.661,0
4,37.661,0
5,37.661,0
6,37.661,0
7,37.661,0
8,37.661,0
9,37.661,0
10,37.661,0
11,37.661,0
12,37.661,0
13,37.661,0
14,37.661,0
15,37.661,0
16,37.661,0
17,37.661,0
18,37.661,0
19,37.661,0
20,37.661,0
21,37.661,0
22,37.661,0
23,37.661,0
24,37.661,0
25,37.661,0
26,0.003,255
27,37.661,0
28,37.661,0
29,37.661,0
30,0.005,255
31,0.012,255
32,0.018,255
33,0.024,255
34,0.027,255
35,0.033,255
36,0.037,255
37,0.039,255
38,0.049,255
39,0.056,255
40,0.065,255
41,0.069,255
42,0.072,255
43,0.074,255
44,0.084,255
45,0.050,255
46,0.075,255
47,0.080,255
48,0.078,255
49,0.076,255
50,0.094,255
51,0.097,255
52,0.105,255
53,0.103,255
54,0.103,255
55,0.128,255
56,0.131,255
57,0.128,255
58,0.132,255
59,0.131,255
60,0.138,255
61,0.172,255
62,0.142,255
63,0.149,255
64,0.158,255
65,0.193,255
66,0.194,255
67,0.198,255
68,0.196,255
69,0.200,255
70,0.203,255
71,0.210,255
72,0.209,255
73,0.242,255
74,0.248,255
75,0.258,255
76,0.262,255
77,0.262,255
78,0.276,255
79,0.262,255
80,0.251,255
81,0.254,255
82,0.255,255
83,0.259,255
84,0.281,255
85,0.299,255
86,0.290,255
87,0.299,255
88,0.318,255
89,0.325,255
90,0.311,255
91,0.316,255
92,0.324,255
93,0.317,255
94,0.328,255
95,0.327,255
96,0.327,255
97,0.335,255
98,0.337,255
99,0.360,255
100,0.369,255
101,0.362,255
102,0.382,255
103,0.361,255
104,0.385,255
105,0.387,255
106,0.391,255
107,0.387,255
108,0.401,255
109,0.395,255
110,0.414,255
111,0.415,255
112,0.426,255
113,0.435,255
114,0.447,255
115,0.442,255
116,0.444,255
117,0.467,255
118,0.476,255
119,0.478,255
120,0.463,255
121,0.469,255
122,0.482,255
123,0.487,255
124,0.500,255
125,0.503,255
126,0.515,255
127,0.502,255
128,0.503,255
129,0.491,255
130,0.490,255
131,0.478,255
132,0.494,255
133,0.494,255
134,0.504,255
135,0.509,255
136,0.490,255
137,0.503,255
138,0.504,255
139,0.489,255
140,0.503,255
141,0.505,255
142,0.510,255
143,0.521,255
144,0.507,255
145,0.505,255
146,0.495,255
147,0.508,255
148,0.522,255
149,0.531,255
150,0.510,255
151,0.504,255
152,0.503,255
153,0.504,255
154,0.488,255
155,0.502,255
156,0.494,255
157,0.511,255
158,0.511,255
159,0.510,255
160,0.496,255
161,0.515,255
162,0.528,255
163,0.545,255
164,0.537,255
165,0.539,255
166,0.566,255
167,0.563,255
168,0.537,255
169,0.529,255
170,0.530,255
171,0.535,255
172,0.521,255
173,0.503,255
174,0.517,255
175,0.518,255
176,0.538,255
177,0.548,255
178,0.532,255
179,0.557,255
180,0.560,255
181,0.560,255
182,0.556,255
183,0.546,255
184,0.557,255
185,0.562,255
186,0.566,255
187,0.546,255
188,0.572,255
189,0.578,255
190,0.608,255
191,0.601,255
192,0.571,255
193,0.601,255
194,0.603,255
195,0.592,255
196,0.608,255
197,0.604,255
198,0.635,255
199,0.647,255
200,0.640,255
201,0.651,255
202,0.628,255
203,0.629,255
204,0.629,255
205,0.654,255
206,0.634,255
207,0.642,255
208,0.625,255
209,0.624,255
210,0.670,255
211,0.649,255
212,0.683,255
213,0.701,255
214,0.694,255
215,0.685,255
216,0.712,255
217,0.696,255
218,0.689,255
219,0.688,255
220,0.671,255
221,0.664,255
222,0.660,255
223,0.664,255
224,0.700,255
225,0.697,255
226,0.696,255
227,0.670,255
228,0.676,255
229,0.693,255
230,0.689,255
231,0.695,255
232,0.733,255
233,0.707,255
234,0.710,255
235,0.723,255
236,0.679,255
237,0.686,255
238,0.688,255
239,0.682,255
240,0.703,255
241,0.692,255
242,0.697,255
243,0.702,255
244,0.725,255
245,0.693,255
246,0.698,255
247,0.714,255
248,0.716,255
249,0.743,255
250,0.720,255
251,0.735,255
252,0.728,255
253,0.732,255
254,0.731,255
255,0.734,255
256,0.733,255
257,0.714,255
258,0.754,255
259,0.731,255
260,0.719,255
261,0.707,255
262,0.745,255
263,0.721,255
264,0.718,255
265,0.717,255
266,0.726,255
267,0.721,255
268,0.717,255
269,0.703,255
270,0.724,255
271,0.727,255
272,0.726,255
273,0.712,255
274,0.731,255
275,0.745,255
276,0.752,255
277,0.738,255
278,0.731,255
279,0.740,255
280,0.745,255
281,0.734,255
282,0.725,255
283,0.725,255
284,0.715,255
285,0.717,255
286,0.702,255
287,0.705,255
288,0.696,255
289,0.704,255
290,0.717,255
291,0.711,255
292,0.727,255
293,0.710,255
294,0.718,255
295,0.733,255
296,0.699,255
297,0.703,255
298,0.713,255
299,0.696,255
300,0.693,255
301,0.643,255
302,0.654,255
303,0.682,255
304,0.700,255
305,0.693,255
306,0.702,255
307,0.704,255
308,0.694,255
309,0.699,255
310,0.672,255
311,0.685,255
312,0.671,255
313,0.677,255
314,0.695,255
315,0.705,255
316,0.709,255
317,0.704,255
318,0.719,255
319,0.716,255
320,0.718,255
321,0.738,255
322,0.729,255
323,0.751,255
324,0.746,255
325,0.744,255
326,0.722,255
327,0.715,255
328,0.719,255
329,0.711,255
330,0.709,255
331,0.720,255
332,0.707,255
333,0.714,255
334,0.720,255
335,0.717,255
336,0.747,255
337,0.737,255
338,0.724,255
339,0.713,255
340,0.727,255
341,0.746,255
342,0.721,255
343,0.718,255
344,0.729,255
345,0.725,255
346,0.719,255
347,0.719,255
348,0.740,255
349,0.737,255
350,0.748,255
351,0.746,255
352,0.757,255
353,0.768,255
354,0.754,255
355,0.750,255
356,0.739,255
357,0.731,255
358,0.716,255
359,0.650,255
360,0.661,255
361,0.658,255
362,0.681,255
363,0.691,255
364,0.693,255
365,0.682,255
366,0.673,255
367,0.669,255
368,0.682,255
369,0.673,255
370,0.674,255
371,0.657,255
372,0.634,255
373,0.635,255
374,0.642,255
375,0.617,255
376,0.620,255
377,0.607,255
378,0.582,255
379,0.586,255
380,0.542,255
381,0.540,255
382,0.527,255
383,0.533,255
384,0.538,255
385,0.533,255
386,0.551,255
387,0.566,255
388,0.557,255
389,0.565,255
390,0.546,255
391,0.571,255
392,0.557,255
393,0.539,255
394,0.519,255
395,0.526,255
396,0.532,255
397,0.526,255
398,0.523,255
399,0.522,255
400,0.523,255
401,0.518,255
402,0.548,255
403,0.554,255
404,0.544,255
405,0.546,255
406,0.552,255
407,0.538,255
408,0.521,255
409,0.523,255
410,0.514,255
411,0.518,255
412,0.524,255
413,0.533,255
414,0.518,255
415,0.529,255
416,0.532,255
417,0.533,255
418,0.539,255
419,0.523,255
420,0.502,255
421,0.491,255
422,0.480,255
423,0.465,255
424,0.449,255
425,0.447,255
426,0.455,255
427,0.440,255
428,0.436,255
429,0.441,255
430,0.433,255
431,0.432,255
432,0.432,255
433,0.429,255
434,0.432,255
435,0.424,255
436,0.383,255
437,0.355,255
438,0.371,255
439,0.361,255
440,0.347,255
441,0.353,255
442,0.340,255
443,0.350,255
444,0.338,255
445,0.350,255
446,0.343,255
447,0.321,255
448,0.318,255
449,0.279,255
450,0.290,255
451,0.278,255
452,0.272,255
453,0.286,255
454,0.274,255
455,0.279,255
456,0.279,255
457,0.249,255
458,0.240,255
459,0.212,255
